block_number,old_block_id,new_block_id,old_block_hash,new_block_hash,body_identical,hash_match
27,seal-C-369-027,seal-C-369-027,sha256:d6f0926d63bf1abead6fa928e815d8824c581d94f02d791290164a247435a03b,sha256:14a908ef5f1a5284d4906ef1f7c555229bf10b3fb99a18659addcccb46abad12,True,False
28,seal-C-369-028,seal-C-369-028,sha256:5cd4112431603f3ac421a2bc01ab355c4f521d19889cb012a2d4744fb1360f19,sha256:cd6d3261b99af3ebc47bc2341a5f8c6bedac073c53ab3c364271846772c4b305,True,False
29,seal-C-370-029,seal-C-370-029,sha256:b5e8e232eaec3178a6cec21e98e39ef71cb8f87faa247ea06f0c8ffa3fa7fe92,sha256:828e955a894159ad0ed121211eb8a20d6b16f7f97c1b83e71da40c77172117e6,True,False
30,seal-C-337-030,seal-C-370-030,sha256:455983168bf19c1108ebda98bba28c0ceb63a059b3bd0310ea4fb163012c7a70,sha256:8142abad5c49b90b82d3c659ca9d511c88c937d10594c972019bd6ac69d68ee6,False,False
31,seal-C-338-031,seal-C-371-031,sha256:a4a2f42984e2b30742117f22e7d85b7730606d7c3a65e2bb8fdc81e92cd4d63d,sha256:d1faadf54c93838d8f591ed14a7449f532e2c25e576aac158e32794b985cc9ab,False,False
32,seal-C-338-032,seal-C-371-032,sha256:0588c67d1d52101d9d28260b512462e7b0880b91db980bee2d571adfed377602,sha256:06ae44aa003ad5410f8eb1a3de0a7a4b2bed3b07735934a629d048fa953d4559,False,False
33,seal-C-338-033,seal-C-371-033,sha256:842bec82971087c67f57210ed3fb0a4fb35b2d099f2ffbeed13c31ab71334be4,sha256:6890d184b224499762f2de0cfb897f163c1cf992defec265cb30239f83582542,False,False
34,seal-C-338-034,seal-C-338-034,sha256:451633b043f4cb713e8ee17cf679525a146ad660af8ba552527b2edd05199f90,sha256:6f7bd28fd1fc854cc91da1e362d6b9dfacf53b414dfd5999dcd954fb9b37800e,True,False
35,seal-C-338-035,seal-C-338-035,sha256:13117b56c3b468a0b1d3338906a97fbf5d51fbbe70a3cea6b966178ffa2f4b9d,sha256:32f3639907a2d115962dea86220963cf6dc47e75d4375323aff89ea2a56718ca,True,False
36,seal-C-338-036,seal-C-338-036,sha256:3bc2ba6962b9da17a02efa2dfe1af1502a6c92cc4b3cf34f8c948a7a477f8bf1,sha256:3341f047db44431f5f9a264aa3656f4c4b989d3f2e5c4fcad9c61dbdd786dc90,True,False
37,seal-C-339-037,seal-C-339-037,sha256:56f25ba346dc416a297d8bd9d3e54eae7f636008f80a621886ff0732819b995c,sha256:e1b706319d86b5d02a84228984450ac744eb483c7f11c09d0d0665729173226c,True,False
38,seal-C-339-038,seal-C-339-038,sha256:4fe8e00826f22f04c071adb71e5643a1f852044fdd882ccfbd2e7c31a849a0e1,sha256:399ec88e5a5d45601c33b4797636f343965f0ac29b5562c9d0bb262811238457,True,False
